title,link,image,lprice,hprice,mall_name,product_id,brand,maker,category1,category2,category3,category4,search_keyword,capacity,brand_type,price_range,detailed_price
대용량 텀블러 퀜처 보온 보냉텀블러 빨대 손잡이텀블러 대형 차량용,https://smartstore.naver.com/main/products/8469600558,https://shopping-phinf.pstatic.net/main_8601410/86014100881.14.jpg,15900,0,1리터텀블러 마켓,86014100881,TYESO,,생활/건강,주방용품,잔/컵,텀블러,텀블러,,기타/노브랜드,1-2만원,1.5-2만
대용량 텀블러 빨대텀블러 보온보냉텀블러 스텐 손잡이 운동 기념품 소,https://smartstore.naver.com/main/products/8702784236,https://shopping-phinf.pstatic.net/main_8624728/86247284559.26.jpg,13500,0,1리터텀블러,86247284559,,,생활/건강,주방용품,잔/컵,텀블러,텀블러,,기타/노브랜드,1-2만원,1-1.5만
"스탠리 스탠리1913 아이스플로우 플립스트로 2.0 텀블러 591ml, 1개",https://search.shopping.naver.com/catalog/55253485059,https://shopping-phinf.pstatic.net/main_5525348/55253485059.20250611153300.jpg,43000,0,네이버,55253485059,스탠리1913,스탠리,생활/건강,주방용품,잔/컵,텀블러,텀블러,591.0,유명브랜드,3-5만원,3-5만
"스탠리 스탠리1913 카페투고 트래블 머그 텀블러 473ml, 블랙2.0",https://search.shopping.naver.com/catalog/56752157794,https://shopping-phinf.pstatic.net/main_5675215/56752157794.20250916112159.jpg,42000,0,네이버,56752157794,스탠리1913,스탠리,생활/건강,주방용품,잔/컵,텀블러,텀블러,473.0,유명브랜드,3-5만원,3-5만
"스탠리 퀜처 프로투어 플립 스트로 텀블러 887ml, 크림 로즈 골드",https://smartstore.naver.com/main/products/11831133016,https://shopping-phinf.pstatic.net/main_8937564/89375643603.jpg,54000,0,스탠리 코리아,89375643603,스탠리1913,스탠리,생활/건강,주방용품,잔/컵,텀블러,텀블러,887.0,유명브랜드,5만원 이상,5만+
"스탠리 카페 투고 트래블 머그 354ml, 포멜로",https://smartstore.naver.com/main/products/12384919638,https://shopping-phinf.pstatic.net/main_8992943/89929430355.jpg,35000,0,스탠리 코리아,89929430355,스탠리1913,스탠리,생활/건강,주방용품,잔/컵,텀블러,텀블러,354.0,유명브랜드,3-5만원,3-5만
스탠리 머그 컵 잔 텀블러 보온 진공 캠핑 머그컵 클래식,https://smartstore.naver.com/main/products/6140153021,https://shopping-phinf.pstatic.net/main_8368465/83684652509.4.jpg,37400,0,치포마켓,83684652509,스탠리,스탠리,생활/건강,주방용품,잔/컵,텀블러,텀블러,,유명브랜드,3-5만원,3-5만
[스타벅스] SS 탱크 텀블러 503ml,https://smartstore.naver.com/main/products/11519149266,https://shopping-phinf.pstatic.net/main_8906365/89063659659.13.jpg,31500,0,스타벅스,89063659659,스타벅스,,생활/건강,주방용품,잔/컵,텀블러,텀블러,503.0,기타/노브랜드,3-5만원,3-5만
"킨토 데이 오프 텀블러 500ml, 1개",https://search.shopping.naver.com/catalog/53509499649,https://shopping-phinf.pstatic.net/main_5350949/53509499649.20250312160205.jpg,28500,0,네이버,53509499649,킨토,킨토,생활/건강,주방용품,잔/컵,텀블러,텀블러,500.0,기타/노브랜드,2-3만원,2.5-3만
스탠리 텀블러 887ml 퀜처 H2.0 플로우스테이트 대용량 손잡이 빨대 텀블러,https://smartstore.naver.com/main/products/9662667559,https://shopping-phinf.pstatic.net/main_8720716/87207169829.5.jpg,51900,0,치포마켓,87207169829,스탠리,스탠리,생활/건강,주방용품,잔/컵,텀블러,텀블러,887.0,유명브랜드,5만원 이상,5만+
